gsmc,gzdd,gxsj,zwmc,zwyx
烟台思途软件科技有限公司,烟台,12-16,安卓软件开发实习生,2001-4000
山东致和国强网络科技有限公司,烟台,12-16,网络实习生+高薪就业,4001-6000
星河互联集团有限公司,北京,12-17,UI设计师,10001-15000
北京罗圣森特节能科技有限公司,北京 - 西城区,12-17,java开发工程师,15000-25000
北京罗圣森特节能科技有限公司,北京,12-17,软件开发工程师,15000-25000
山东星火国际传媒集团有限公司,北京 - 海淀区,12-17,CTO（在线教育方向）,8001-10000
北京金凯瑞铭信息技术有限公司,北京 - 朝阳区,12-17,web前端开发,6001-8000
北京金凯瑞铭信息技术有限公司,北京 - 朝阳区,12-17,JAVA高级开发工程师/项目经理,10001-15000
北京金凯瑞铭信息技术有限公司,北京 - 朝阳区,12-17,JAVA高级开发工程师/项目经理,10001-15000
北京天羽互动网络科技有限公司,北京 - 石景山区,12-17,手游3D角色,15001-20000
完美世界(北京)软件有限公司 ,北京 - 海淀区,12-17,C++服务器开发工程师（端游）-1500,20001-30000
完美世界(北京)软件有限公司 ,北京,12-17,Unity开发工程师-北京-02393,4001-6000
完美世界(北京)软件有限公司 ,北京,12-17,关卡策划-北京-02531,15001-20000
完美世界(北京)软件有限公司 ,北京,12-17,3D移动游戏引擎开发-北京-02476,15000-30000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,unity3d客户端程序员-1625,15001-20000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,服务器开发工程师-1624,15001-20000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,C++游戏客户端开发（手游）-北京-03119-53,20001-30000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,前端工程师 Web或移动App开发,15001-20000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,客户端主程-1577,15001-20000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,引擎开发-1568,15001-20000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,战斗策划（FPS手游）-1795,15001-20000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,关卡策划（FPS手游）-1794,15001-20000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,任务活动策划-1611,10001-15000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,C++游戏客户端开发(端游)-1796,20001-30000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,战斗策划,10001-15000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,游戏资源策划-1576,6001-8000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,网站前端开发工程师,15001-20000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,高级java服务器工程师,20001-30000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,系统策划-1575,8001-10000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,TA工程师,10001-15000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,Untiy3D开发工程师,10001-15000
完美世界(北京)软件有限公司 ,北京 - 朝阳区,12-17,美术原画师,5000-9000
完美世界(北京)软件有限公司 ,北京,12-17,高级安全开发工程师-北京-03027,15001-20000
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,【Web前端工程师15K~25K】3年经验/活跃的IT团队，暖心的氛围,20001-30000
北京康维金桥科技有限公司,北京,12-17,C# 软件工程师（Web前端不考虑）,10001-15000
烟台牧哲信息技术有限公司,烟台,12-16,淘宝美工双休 可学徒,4001-6000
山东致和国强网络科技有限公司,烟台 - 芝罘区,12-16,高薪诚聘UID设计师,4001-6000
山东烨伟网络科技有限公司,烟台,12-16,web前端开发 PHP开发,3000-6000
山东致和国强网络科技有限公司,烟台,12-16,PHP实习生,4001-6000
烟台航天智山科技信息有限公司,烟台 - 开发区,12-16,弱电设计工程师,3000-5000
中国科学院计算技术研究所烟台分所,烟台,12-16,网络爬虫工程师,6000-8000
欧瑞传动电气股份有限公司,烟台 - 开发区,12-16,伺服软件工程师,6001-8000
山东海文信息技术有限公司烟台分公司,烟台,12-16,UI设计应届生,2001-4000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-16,WEB前端开发,4001-6000
深圳市玖富超能金融服务有限公司,烟台,12-16,PHP开发工程师,8001-10000
北京易诚互动网络技术有限公司,烟台 - 芝罘区,12-16,中级Java开发工程师,15001-20000
中国科学院计算技术研究所烟台分所,烟台,12-16,Java 开发工程师,4000-8000
烟台东方威思顿电气股份有限公司,烟台 - 芝罘区,12-16,DSP嵌入式软件研发工程师,4000-8000
烟台东方威思顿电气股份有限公司,烟台,12-16,3、嵌入式软件开发工程师,4000-8000
中国科学院计算技术研究所烟台分所,烟台,12-16,Hadoop大数据工程师,4000-8000
烟台向上行软件技术有限公司,烟台,12-16,高薪诚聘IOS工程师,4000-8000
烟台网云网络科技有限公司,烟台,12-16,聘PHP软件开发工程师,4001-6000
山东嘉航电子信息技术有限公司,烟台,12-16,QT工程师,6001-8000
烟台正杰信息科技有限公司,烟台 - 芝罘区,12-16,软件工程师,4001-6000
烟台大业数据科技有限公司,烟台,12-16,高级Java开发工程师,4001-6000
烟台金纽扣网络科技有限公司,烟台 - 芝罘区,12-16,网页美工,2001-4000
烟台欣和企业食品有限公司 ,烟台 - 开发区,12-16,BI开发工程师,4001-6000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-16,移动 互联网端APP网页设计师助理,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-16,零基础应届IT互联网助理（包食宿+五险一金）,4001-6000
烟台牧哲信息技术有限公司,烟台,12-16,C#开发实习生 3000+,2001-4000
烟台牧哲信息技术有限公司,烟台,12-16,高薪 网络安全工程师,6001-8000
烟台牧哲信息技术有限公司,烟台,12-16,软件开发实习生 可应届带薪实习,2001-4000
山东鼎信网络科技有限公司,烟台,12-16,PHP开发工程师,4001-6000
烟台凯鑫商务信息咨询有限公司,烟台,12-16,新建日企软件工程师,6001-8000
山东索福特软件有限公司,烟台 - 芝罘区,12-16,NET软件工程师,4001-6000
鲁南制药集团股份有限公司,烟台,12-16,程序设计,4001-6000
烟台清泉实业有限公司,烟台,12-16,软件开发工程师,2001-4000
烟台三环科技有限公司,烟台 - 芝罘区,12-16,中级JAVA开发工程师,4001-6000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-16,UI/UE设计/讲师,3000-5000
烟台正维科技有限公司,烟台 - 开发区,12-16,软件工程师,6001-8000
文思海辉技术有限公司 Pactera Technology International Limited,烟台,12-16,Java（金融事业群初中高级别）,面议
烟台欣和企业食品有限公司 ,烟台 - 开发区,12-16,FLEX开发工程师,4001-6000
烟台欣和企业食品有限公司 ,烟台 - 开发区,12-16,JAVA开发工程师,面议
山东海文信息技术有限公司烟台分公司,烟台,12-16,广告设计,4001-6000
德州驾航电子科技有限公司,烟台,12-16,德州 IOS 苹果软件开发工程师,10001-15000
烟台艾德康生物科技有限公司,烟台,12-16,软件工程师,4001-6000
烟台开发区德联软件有限责任公司,烟台,12-16,C++开发人员,4001-6000
新航路师徒学院,烟台,12-16,云计算运维工程师（零基础转行可投）,8001-10000
东方电子集团有限公司,烟台 - 芝罘区,12-16,信息化工程师（平台开发）,4000-7000
东方电子集团有限公司,烟台,12-16,云平台开发工程师,4000-7000
烟台兰德华电子科技有限公司,烟台,12-16,数据库设计、管理工程师（DBA）,6001-8000
青岛青软科技有限公司,烟台,12-16,系统架构设计师,4001-6000
山东烨伟网络科技有限公司,烟台,12-16,PHP工程师 web前端,3000-6000
山东烨伟网络科技有限公司,烟台,12-16,iOS开发工程师,3000-6000
山东烨伟网络科技有限公司,烟台,12-16,Android开发工程师,3000-6000
福州易联众信息技术有限公司,烟台,12-16,软件实施工程师（烟台）,4001-6000
晋江市游龙软件有限公司,烟台,12-16,诚招C/C++软件工程师创业伙伴,8001-10000
烟台思途软件科技有限公司,烟台,12-16,毕业生首选就业平台（php软件开发实训）就业薪资有保证,4001-6000
山东艾欧特投资集团有限公司,烟台,12-16,.net 后台开发软件工程师,4001-6000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-16,UI设计应届生,2001-4000
烟台东航电子科技有限公司,烟台,12-16,web前端工程师,4001-6000
烟台市其然软件科技有限公司,烟台 - 莱山区,12-16,Java 讲师,8001-10000
烟台欣和企业食品有限公司 ,烟台 - 开发区,12-16,UI设计师,4001-6000
烟台东航电子科技有限公司,烟台 - 芝罘区,12-16,软件开发工程师(Java Web),6001-8000
山东艾欧特投资集团有限公司,烟台,12-16,php开发工程师,4001-6000
北京中科赢萨科技有限公司,北京,12-17,中级C++,8001-10000
北京中科赢萨科技有限公司,北京,12-17,.net软件开发工程师,8001-10000
北京中科赢萨科技有限公司,北京,12-17,Java开发工程师,15001-20000
北京中科赢萨科技有限公司,北京,12-17,中级Web开发,8001-10000
安投融(北京)网络科技有限公司,北京 - 海淀区,12-17,高级Java工程师,15000-25000
安投融(北京)网络科技有限公司,北京,12-17,高级php开发工程师,15001-20000
北京七彩柠檬科技有限公司,北京,12-17,java手游服务器主程,20001-30000
北京卫仕工程管理有限公司,北京,12-17,. net 高级软件开发工程师,10001-15000
北京太平机电设备安装有限责任公司,北京,12-17,Java开发工程师,8001-10000
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG12-高级视频处理算法工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG12-高级图像处理算法工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG12-腾讯云方案架构师,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG16-腾讯自动驾驶车辆控制算法工程师（北京）,面议
北京英华达电力电子工程科技有限公司,北京,12-17,振动分析故障诊断技术工程师,5000-10000
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG08-IOS开发工程师,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,15612-资深数值策划（北京）,面议
北京智恒网安科技有限公司,北京,12-17,C++开发工程师（MFC/QT）,15001-20000
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG097-web前端开发（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SA-腾讯社交广告定向系统开发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SA-腾讯社交广告Java后台开发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG12-腾讯云高级后台研发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,TEG11-高级业务运维工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SA-腾讯社交广告Java研发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG236-搜索算法高级工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,TEG11-高级后台开发工程师（北京）,面议
山东艾欧特投资集团有限公司,烟台,12-16,php开发工程师,4001-6000
深圳腾讯计算机系统有限公司 ,北京,12-17,WXG02-微信语音识别专家（北京）,面议
北京长森石油科技有限公司,北京 - 海淀区,12-17,软件开发工程师,8001-10000
深圳腾讯计算机系统有限公司 ,北京,12-17,SA-腾讯社交广告联盟策略开发工程师（北京）,面议
中国科学院计算技术研究所烟台分所,烟台,12-16,WEB前端开发工程师,4000-8000
润斯顿中关村软件人才中心,烟台,12-16,Linux运维 网络管理员 系统维护工程师定岗实习生,6001-8000
烟台海颐软件股份有限公司 ,烟台,12-16,C++开发工程师,3000-4500
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG12-腾讯云C++后台开发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG12-腾讯云方案架构师（北京）,面议
烟台慧谷智能科技有限公司,烟台 - 开发区,12-15,软件工程师,2001-4000
烟台新科电子科技有限公司,烟台 - 芝罘区,12-15,技术工程师,3000-4000
陕西正华信息技术有限公司,烟台 - 开发区,12-15,研发/高级软件工程师,4001-6000
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG064-应用开发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG12-运营开发工程师（北京）,面议
北京好汉科技有限责任公司,北京 - 丰台区,12-17,HTML5开发工程师,10001-15000
杭州酷跃科技有限公司,北京 - 朝阳区,12-17,前端开发工程师,15000-25000
陕西正华信息技术有限公司,烟台 - 开发区,12-15,JAVA开发人员/公安行业(包含技术强的实习生),6001-8000
烟台和创网络科技有限公司,烟台,12-15,技术工程师,4001-6000
扶鹏航空技术(上海)有限公司,烟台,12-15,软件设计工程师,4001-6000
烟台思途软件科技有限公司,烟台 - 莱山区,12-15,网页设计（可学徒）,2001-4000
深圳腾讯计算机系统有限公司 ,北京,12-17,TEG13-自然语言处理高级工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG09-浏览器Web高级开发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG231-Android开发工程师（北京）,面议
山东鲁花集团有限公司 ,烟台,12-15,软件工程师,6001-8000
烟台大智电子科技有限公司,烟台,12-15,工程技术人员,4001-6000
